[2023-12-23T00:25:07,014] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/46d/46d0f497391a934d27d9b993f444d8b2/121af719b172eed61d8a75c1b1341c9d.png
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,038] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/0c4/0c446fb276fafbb0f0d5e3abfedf2510/f4bbea9d03b1453bd37d571282334f1b.png
[2023-12-23T00:25:07,066] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,067] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:25:07,067] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,067] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/50f/50f8e7cf26128a6e10d0b792019c1303/94aa2d574cfe6e3893c087cfb5a5efcd.png
[2023-12-23T00:25:07,145] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,146] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,147] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/702/702e6d0287a1e868c69fbe2f6b3635a6/7a7a82b571ba63ccd3ca514c887b3130.png
[2023-12-23T00:25:07,176] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,176] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,177] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/440/4402267722e227b72adc97db92504b75/ae0f562146e701f32ae96761ac67c5cc.png
[2023-12-23T00:25:07,200] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,201] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,201] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/531/5313a4ca89a7c7588a88898c8f1e9053/dab85392562772099474a050c251d340.png
[2023-12-23T00:25:07,255] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,256] [DEBUG] c.e.t.u.MediaPlayerUtils:105 CreateGiftsHBOX
[2023-12-23T00:25:07,256] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,256] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/006/006d256121db1824975ae0f9f8a0fd1d/775b702c6935f6b7fc82fca6221d65b0.png
[2023-12-23T00:25:07,282] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,283] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,283] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/702/702e6d0287a1e868c69fbe2f6b3635a6/7a7a82b571ba63ccd3ca514c887b3130.png
[2023-12-23T00:25:07,312] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,313] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,313] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/440/4402267722e227b72adc97db92504b75/ae0f562146e701f32ae96761ac67c5cc.png
[2023-12-23T00:25:07,338] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,338] [DEBUG] c.e.t.Gift:94 Linkten Resim
[2023-12-23T00:25:07,338] [DEBUG] c.e.t.Gift:116 PNG resim yükleniyor : https://storage.streamdps.com/iblock/8d4/8d46ea77e77b6381f77b5867422c5f25/4d31f74591b77f27603315eb1f44488f.png
[2023-12-23T00:25:07,363] [DEBUG] c.e.t.u.MediaPlayerUtils:112 createImageView
[2023-12-23T00:25:07,363] [DEBUG] c.e.t.FourTeamsController:196 editVideos
[2023-12-23T00:25:07,364] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:25:07,458] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:25:07,461] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:25:07,465] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:25:07,470] [DEBUG] c.e.t.FourTeamsController:151 createMusicPlayerss
[2023-12-23T00:25:07,471] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,478] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,481] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,484] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,492] [DEBUG] c.e.t.FourTeamsController:159 editMusicPlayers
[2023-12-23T00:25:07,492] [DEBUG] c.e.t.FourTeamsController:167 editMusicPlayers
[2023-12-23T00:25:07,493] [DEBUG] c.e.t.FourTeamsController:167 editMusicPlayers
[2023-12-23T00:25:07,493] [DEBUG] c.e.t.FourTeamsController:167 editMusicPlayers
[2023-12-23T00:25:07,493] [DEBUG] c.e.t.FourTeamsController:167 editMusicPlayers
[2023-12-23T00:25:07,494] [DEBUG] c.e.t.FourTeamsController:185 startNeutralMusic
[2023-12-23T00:25:07,510] [DEBUG] c.e.t.GiftServer:27 0:0:0:0:0:0:0:1 entered the room!
[2023-12-23T00:25:07,542] [DEBUG] c.e.t.FourTeamsController:143 createTimelineTeams
[2023-12-23T00:25:07,543] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,558] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,560] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:07,564] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:08,222] [ERROR] c.e.t.FourTeamsController:220 1Videoda hata
[2023-12-23T00:25:08,235] [DEBUG] c.e.t.u.MediaPlayerUtils:66 getVideo
[2023-12-23T00:25:08,471] [DEBUG] c.e.t.u.MediaPlayerUtils:50 Ses Videosunda hata
[2023-12-23T00:25:08,483] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:08,505] [DEBUG] c.e.t.u.MediaPlayerUtils:50 Ses Videosunda hata
[2023-12-23T00:25:08,532] [DEBUG] c.e.t.u.MediaPlayerUtils:38 create volume files
[2023-12-23T00:25:43,851] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:25:43,853] [DEBUG] c.e.t.FourTeamsController:350 Takım Değişti Team1
[2023-12-23T00:25:47,951] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:25:47,953] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 1
[2023-12-23T00:25:47,954] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:25:50,180] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:25:51,125] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:25:51,126] [DEBUG] c.e.t.FourTeamsController:333 Gift : TGIF Gift Toplam Miktari : 1
[2023-12-23T00:25:51,126] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:26:12,994] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 1
[2023-12-23T00:26:12,995] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:26:14,477] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:26:25,049] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 1
[2023-12-23T00:26:25,050] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:26:29,043] [DEBUG] c.e.t.FourTeamsController:333 Gift : Heart Me Gift Toplam Miktari : 1
[2023-12-23T00:26:29,043] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:26:42,942] [DEBUG] c.e.t.FourTeamsController:333 Gift : Heart Me Gift Toplam Miktari : 1
[2023-12-23T00:26:42,942] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:26:47,029] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 14
[2023-12-23T00:26:49,388] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 1
[2023-12-23T00:26:49,388] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:27:03,855] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:27:13,699] [DEBUG] c.e.t.FourTeamsController:333 Gift : Heart Me Gift Toplam Miktari : 1
[2023-12-23T00:27:13,700] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:27:19,251] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 2
[2023-12-23T00:27:19,252] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:27:28,302] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:27:39,561] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:27:43,890] [DEBUG] c.e.t.FourTeamsController:281 Takım Belgeseli başlıyor
[2023-12-23T00:27:52,568] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:28:08,496] [DEBUG] c.e.t.FourTeamsController:333 Gift : Finger Heart Gift Toplam Miktari : 5
[2023-12-23T00:28:21,751] [DEBUG] c.e.t.FourTeamsController:333 Gift : Finger Heart Gift Toplam Miktari : 5
[2023-12-23T00:28:33,225] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:28:34,650] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:28:46,742] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:28:57,975] [DEBUG] c.e.t.FourTeamsController:333 Gift : Squirrel Gift Toplam Miktari : 1
[2023-12-23T00:28:57,975] [DEBUG] c.e.t.FourTeamsController:503 Farklı Gift
[2023-12-23T00:28:58,685] [DEBUG] c.e.t.FourTeamsController:175 Oynatılacak indexler : 1
[2023-12-23T00:29:08,750] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:29:23,847] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:29:39,369] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:29:43,875] [DEBUG] c.e.t.FourTeamsController:281 Takım Belgeseli başlıyor
[2023-12-23T00:29:56,372] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:30:06,916] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:30:23,024] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:30:33,625] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:30:45,825] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
[2023-12-23T00:30:58,626] [DEBUG] c.e.t.FourTeamsController:333 Gift : Rose Gift Toplam Miktari : 1
